gespr8.1;anspr8.2;ofohr8.3;austs8.4;infrm8.5;etwgs8.6;ptner8.7;ausef8.8;auflt8.9;mitw8.10;eamt8.11;hosp8.12;pdar8.13;eins8.14;besw8.15;ents8.16;eazf8.17;ifpd8.18;betl8.19;gsmt8.20;Kitadauer;Alter;Austausch;Beteiligung
4;4;4;4;4;4;4;4;4;4;1;1;3;1;4;1;2;3;2;2;3;4;3,6666666667;2,5
3;3;2;3;3;3;2;3;3;2;2;3;3;3;3;3;2;NA;3;2;2;3;2,8888888889;2,6363636364
3;3;3;3;4;4;3;3;3;3;3;3;3;3;3;3;3;3;3;2;2;5;3,2222222222;3
3;4;4;4;3;3;2;3;3;2;2;NA;2;3;NA;2;3;3;3;2;2;5;3,125;2,7
1;1;2;1;2;2;2;3;3;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;5;1,7142857143;3
4;4;4;4;4;4;4;4;4;4;4;3;3;NA;2;2;3;2;3;2;1;2;3,75;3,0909090909
NA;4;4;2;2;2;2;2;2;4;NA;NA;2;1;NA;1;1;1;1;1;3;5;2,1428571429;1,8888888889
4;4;4;4;4;4;4;3;4;3;1;3;3;3;3;1;NA;NA;NA;NA;1;4;3,6666666667;2,7777777778
4;4;4;4;4;4;4;3;3;3;3;3;3;3;3;3;4;4;4;4;3;5;3,6666666667;3,3333333333
3;3;3;3;4;3;3;3;3;3;3;2;2;2;3;3;3;2;3;2;2;3;3;2,6666666667
4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;NA;NA;NA;4;1;2;4;4
4;4;4;4;3;NA;3;4;2;4;4;4;4;NA;NA;4;4;4;4;4;1;4;3,6666666667;3,8
4;4;4;4;4;4;4;4;1;3;4;4;4;4;4;4;2;4;4;2;1;5;4;3,5
3;3;3;4;3;4;4;3;2;2;2;2;2;3;3;3;4;4;4;2;1;3;3,3333333333;2,8333333333
3;3;NA;3;4;NA;2;2;4;3;3;NA;NA;NA;2;NA;NA;NA;NA;NA;1;2;2,7142857143;3
4;4;3;4;3;NA;2;3;4;2;NA;NA;4;NA;3;NA;NA;NA;NA;2;4;5;3,2857142857;3,2
3;4;4;4;4;3;3;3;3;4;4;4;3;3;3;4;4;4;4;4;3;5;3,3333333333;3,6666666667
2;2;3;3;1;NA;2;2;3;3;3;2;3;2;NA;NA;3;2;NA;2;1;3;2;2,6666666667
4;4;4;4;4;4;3;3;3;4;4;NA;4;3;NA;3;3;3;3;4;1;4;3,625;3,4
3;3;4;4;3;3;3;4;4;3;4;4;4;3;3;3;4;4;4;2;4;6;3,2222222222;3,6666666667
4;4;3;4;4;4;3;NA;2;2;4;NA;2;2;3;3;3;NA;3;2;1;4;3,5;2,7
4;3;3;4;4;4;3;3;3;3;NA;4;3;NA;3;3;3;4;4;2;1;2;3,5;3,3
3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;1;1;3;2;3;5;3,8888888889;3,4166666667
2;2;3;2;2;NA;1;1;3;3;3;3;2;2;NA;NA;3;3;3;2;1;5;1,7142857143;2,8
3;4;4;3;3;4;2;NA;2;3;3;3;3;NA;3;NA;3;3;4;2;3;5;3,1428571429;3,1
3;3;4;4;3;4;3;3;3;4;4;3;3;NA;3;4;4;4;4;4;2;5;3,25;3,6363636364
1;NA;3;2;1;NA;1;1;2;2;2;NA;1;1;NA;NA;3;2;2;NA;1;4;1,1666666667;2
4;4;4;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4;4;4;4;6;4;3,9166666667
3;3;NA;4;4;NA;2;3;3;2;2;2;3;NA;NA;4;3;3;3;2;1;2;3,1666666667;2,7777777778
2;4;4;4;2;4;4;4;3;3;3;3;4;3;3;3;4;4;4;2;2;4;3,3333333333;3,4166666667
4;4;4;4;4;4;3;3;4;3;3;3;3;2;3;2;3;3;3;2;4;5;3,4444444444;3
3;3;3;3;3;3;2;NA;3;3;3;3;NA;NA;3;3;2;2;NA;2;4;NA;2,8571428571;2,7777777778
4;4;4;4;4;4;4;4;4;3;3;3;3;3;3;3;3;3;3;2;2;3;3,7777777778;3,1666666667
3;NA;4;2;2;2;1;1;4;NA;4;NA;2;NA;NA;NA;NA;NA;3;NA;2;5;1,8333333333;3,4
1;2;3;2;1;3;1;1;3;3;3;2;2;1;2;2;3;3;3;2;4;5;1,5555555556;2,5
2;2;2;2;1;2;3;2;3;3;3;3;2;3;3;2;3;4;4;2;2;5;2,2222222222;2,9166666667
4;4;4;4;4;4;4;4;4;4;2;2;2;2;2;2;2;2;2;2;1;2;3,5555555556;2,5
3;3;NA;2;2;2;1;1;3;3;3;NA;1;NA;2;1;1;1;2;2;4;5;2;1,8888888889
4;4;4;4;4;3;3;3;4;3;3;3;3;3;3;3;3;3;3;2;4;5;3,4444444444;3,1666666667
4;4;4;4;3;4;2;3;4;3;3;3;3;3;3;3;3;3;3;2;2;3;3,3333333333;3,1666666667
4;4;4;4;4;4;2;2;4;3;3;3;3;4;4;4;4;2;4;4;2;5;3,5555555556;3,5
4;4;4;4;3;3;3;3;4;4;4;4;NA;3;3;3;NA;4;4;4;3;5;3,3333333333;3,7
4;4;4;4;4;4;NA;3;3;3;4;4;4;4;4;3;3;3;4;4;4;5;3,875;3,5833333333
4;4;4;4;4;4;2;2;3;3;4;4;4;3;4;3;3;3;3;2;2;3;3,4444444444;3,4166666667
3;4;4;4;3;3;2;2;3;3;3;3;3;2;3;3;3;3;3;2;1;2;2,8888888889;3
4;4;4;4;3;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4;2;5;3,7777777778;3,9166666667
4;4;3;3;3;NA;NA;NA;4;2;3;NA;2;NA;NA;NA;NA;NA;4;2;3;5;3,5;3
4;4;4;4;4;4;4;4;4;4;4;4;4;3;3;4;3;3;3;4;3;5;3,7777777778;3,5833333333
3;4;4;4;4;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;3;5;3,7777777778;4
4;3;3;4;3;3;2;2;3;3;4;3;3;2;NA;NA;NA;4;NA;2;1;3;2,875;3,125
4;4;4;4;3;NA;2;NA;2;3;NA;NA;3;3;3;4;4;3;4;2;1;2;3,2857142857;3,3
4;4;4;4;3;4;3;3;4;3;4;4;3;2;3;3;3;3;4;2;4;5;3,3333333333;3,3333333333
4;4;4;4;4;4;4;3;3;4;4;4;3;4;4;3;NA;NA;NA;2;2;4;3,8888888889;3,6666666667
4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;4;4;2;3;4;3,9166666667
4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;5;4;4
4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;1;2;4;4
4;4;4;3;3;NA;2;2;3;3;3;3;2;2;3;3;3;2;3;2;1;4;2,875;2,8333333333
4;4;4;4;3;3;4;4;4;4;4;4;3;4;4;4;4;4;4;4;2;4;3,7777777778;3,9166666667
3;4;4;4;4;4;4;4;4;4;4;4;3;4;4;4;4;3;4;4;1;2;3,8888888889;3,8333333333
2;3;3;2;1;2;2;1;4;NA;3;NA;2;1;NA;2;3;3;2;2;3;5;1,75;2,5555555556
3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;3;5;3;3
4;3;3;4;3;3;3;3;3;3;4;4;4;NA;3;4;2;2;2;4;2;5;3,25;3,0909090909
4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;1;4;4;4
3;3;3;4;4;4;4;4;4;4;4;NA;3;3;4;4;3;3;3;4;3;4;3,6666666667;3,4545454545
2;2;4;4;2;4;2;2;3;2;4;3;2;2;4;2;4;4;4;2;2;5;2,6666666667;3,1666666667
3;3;3;2;2;1;2;2;3;2;2;2;2;2;4;3;3;2;2;2;3;4;2,3333333333;2,5
3;3;3;4;2;4;2;1;4;3;2;3;3;1;3;2;4;3;4;2;4;5;2,5555555556;2,9166666667
3;4;4;3;3;2;1;4;4;3;4;4;3;NA;4;NA;2;2;1;4;2;3;3;3,1
3;3;3;3;3;3;NA;3;3;NA;NA;NA;3;2;3;NA;3;3;3;2;3;5;2,875;2,875
3;3;3;3;2;4;2;2;4;2;3;3;2;3;2;2;3;3;3;2;3;5;2,6666666667;2,75
3;4;2;3;2;3;1;2;2;2;3;2;2;1;3;2;3;3;2;2;4;5;2,4444444444;2,25
3;2;3;3;3;4;2;2;3;3;4;3;3;2;NA;2;2;2;3;2;2;3;2,625;2,7272727273
3;3;3;3;3;3;2;2;2;3;2;NA;2;2;4;2;3;3;3;2;2;3;2,7777777778;2,6363636364
2;2;2;3;1;2;1;1;2;3;3;3;2;2;3;1;2;2;NA;2;2;4;1,8888888889;2,2727272727
3;4;4;4;3;3;3;3;4;4;4;4;4;4;4;4;4;4;4;4;2;3;3,4444444444;4
1;2;2;2;1;2;1;1;1;2;2;2;2;2;3;1;2;3;2;2;3;6;1,6666666667;2
4;4;4;4;4;4;4;4;4;4;4;4;4;NA;4;4;4;4;4;4;2;5;4;4
3;3;3;3;2;3;1;2;4;2;1;NA;3;NA;3;2;2;2;2;2;3;4;2,5;2,4
4;4;3;3;3;4;4;4;3;3;3;4;4;4;4;2;2;1;3;2;4;6;3,7777777778;3
3;4;NA;3;2;3;3;2;4;2;3;NA;2;2;NA;2;NA;NA;NA;NA;1;3;2,75;2,5
2;3;3;3;2;NA;3;2;4;3;NA;NA;3;2;3;2;3;3;4;4;1;2;2,5;3
2;3;3;2;2;NA;2;1;2;3;3;2;1;1;2;NA;NA;NA;NA;2;1;5;1,875;2,125
2;3;3;3;2;2;3;2;3;2;3;3;3;NA;NA;3;3;3;3;NA;1;3;2,4285714286;2,9
4;4;4;4;4;4;4;4;4;3;4;3;2;3;3;2;3;2;1;2;2;3;3,7777777778;2,8333333333
4;4;4;4;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4;4;4;5;4;3,9166666667
3;3;3;3;2;3;2;2;3;3;4;4;2;2;NA;3;1;2;3;2;2;5;2,5;2,7272727273
4;3;2;3;3;3;1;3;1;NA;1;2;2;NA;3;1;NA;NA;NA;2;3;4;2,875;1,7142857143
3;3;3;4;3;NA;2;2;2;4;4;NA;3;3;4;4;4;4;4;4;3;5;3;3,5454545455
2;3;2;2;2;3;NA;2;3;3;3;2;2;2;2;1;2;3;2;2;3;5;2,25;2,25
2;2;3;2;2;3;2;2;3;3;3;3;2;3;2;1;2;3;3;2;3;5;2,2222222222;2,5833333333
3;3;3;4;3;NA;2;3;3;2;3;3;2;NA;4;1;2;3;3;2;1;3;3,1428571429;2,6363636364
2;3;2;2;1;2;2;2;3;2;3;3;2;2;2;1;2;2;3;2;2;5;2;2,25
1;1;2;2;1;4;3;1;3;3;4;3;3;3;3;1;3;3;3;2;4;5;2,1111111111;2,8333333333
3;3;2;3;4;3;1;1;3;3;4;NA;3;3;3;3;4;3;3;2;1;3;2,6666666667;3,0909090909
4;4;4;4;4;4;4;4;4;4;4;3;4;4;4;4;4;NA;4;4;3;5;4;3,9090909091
4;4;4;4;3;3;3;4;4;4;4;3;4;3;4;3;3;3;4;4;2;5;3,5555555556;3,5833333333
3;4;4;4;4;3;4;4;4;4;4;3;3;3;NA;3;3;3;4;2;2;5;3,625;3,4545454545
4;4;4;4;3;4;4;3;4;4;4;4;3;3;4;3;3;3;3;4;1;4;3,6666666667;3,5
3;4;4;4;3;NA;2;NA;2;4;3;3;4;4;4;NA;4;NA;4;4;1;4;3,4285714286;3,6
3;4;4;4;1;4;2;2;3;3;4;4;1;2;NA;3;2;2;3;2;2;5;2,75;2,8181818182
4;4;4;4;2;3;3;3;1;1;NA;1;3;3;4;4;2;2;2;2;2;4;3,3333333333;2,4545454545
4;4;4;4;4;4;3;3;3;4;4;4;4;4;4;4;4;4;4;4;1;4;3,7777777778;3,9166666667
4;4;4;4;4;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;1;4;3,8888888889;4
4;4;4;4;4;4;4;3;3;3;3;3;3;3;3;3;3;3;3;2;2;5;3,6666666667;3,0833333333
4;4;4;4;4;4;2;2;3;4;4;4;NA;NA;4;3;3;3;4;4;2;5;3,5;3,6
4;4;4;4;4;4;2;2;3;4;4;4;3;3;4;NA;3;3;4;2;1;4;3,4444444444;3,5454545455
4;4;4;4;4;4;3;2;4;3;3;3;4;NA;4;3;3;3;4;4;2;5;3,625;3,4545454545
4;4;4;4;4;4;3;2;4;3;3;3;4;3;4;3;3;3;4;2;1;3;3,5555555556;3,4166666667
2;3;4;3;3;3;2;2;3;3;NA;4;3;2;3;3;3;3;3;2;2;4;2,5555555556;3,0909090909
4;4;4;4;4;4;4;4;3;3;3;3;3;3;4;4;4;4;3;4;1;4;3,8888888889;3,4166666667
2;3;3;3;2;2;2;1;2;3;3;3;3;2;3;3;2;2;2;2;2;3;2,2222222222;2,5833333333
3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;3;5;3;3
1;1;2;1;1;NA;1;1;1;1;1;3;1;1;1;1;1;2;2;1;2;3;1;1,4166666667
4;4;4;4;4;4;NA;NA;4;NA;NA;NA;1;NA;4;4;4;4;NA;4;1;5;4;3,5714285714
4;3;3;4;3;4;3;3;3;4;4;3;3;3;4;4;3;4;4;2;4;5;3,4444444444;3,5
3;4;4;3;3;4;4;3;4;3;4;4;4;3;4;3;4;4;4;4;2;3;3,4444444444;3,75
3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;2;3;3,8888888889;4
3;4;4;4;4;4;3;3;3;3;4;4;4;4;4;3;4;4;4;4;4;5;3,6666666667;3,75
3;2;4;3;2;3;1;1;3;4;4;2;2;1;1;NA;3;NA;NA;2;2;5;1,8888888889;2,6666666667
2;4;4;4;2;2;3;2;3;3;4;NA;4;4;4;4;4;3;4;4;2;3;3;3,7272727273
4;4;4;4;4;4;4;3;4;4;4;4;4;4;4;2;3;4;4;4;2;5;3,8888888889;3,75
4;4;4;4;4;4;3;4;4;4;4;4;4;3;4;2;3;4;4;2;1;3;3,7777777778;3,6666666667
3;4;4;3;4;4;3;3;3;3;4;3;4;4;4;4;NA;NA;NA;4;1;4;3,5555555556;3,6666666667
3;3;NA;3;3;3;2;1;4;2;1;1;2;NA;NA;1;3;3;3;1;4;5;2,5714285714;2,2222222222
4;4;4;4;2;2;3;2;3;1;2;3;2;2;3;3;1;3;1;2;3;5;2,8888888889;2,3333333333
3;3;4;4;4;4;3;4;1;3;3;3;3;3;3;3;3;3;3;4;1;5;3,4444444444;2,9166666667
4;3;4;4;4;3;3;4;2;3;3;3;3;3;3;3;4;4;4;4;1;4;3,4444444444;3,25
4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;1;5;4;4
4;4;4;4;4;4;4;4;4;4;4;4;3;3;4;4;4;4;4;4;4;5;3,8888888889;3,8333333333
3;3;3;3;4;3;3;3;4;3;3;3;4;3;3;3;NA;NA;NA;4;1;3;3,1111111111;3,2222222222
4;4;4;4;2;3;4;2;3;3;4;NA;3;2;3;4;NA;NA;NA;4;2;6;3,1111111111;3,25
4;4;4;4;2;3;3;2;3;3;4;3;3;2;4;3;4;4;4;2;2;4;3,1111111111;3,4166666667
2;3;4;3;1;3;2;2;4;NA;4;NA;2;2;4;NA;3;2;4;2;1;4;2,4444444444;3,2222222222
4;4;3;3;3;NA;1;3;4;4;4;3;3;2;4;3;3;3;3;2;2;5;3;3,25
4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4;4;5;3,8888888889;3,9166666667
4;4;4;4;2;3;3;3;2;4;4;3;4;4;4;4;4;4;4;4;4;5;3,4444444444;3,75
2;2;3;3;2;3;2;2;3;3;3;2;1;1;3;3;3;2;3;2;2;5;2,2222222222;2,5
3;4;4;3;1;3;1;1;1;2;3;NA;1;1;2;1;3;2;4;2;4;6;2,1111111111;2,1818181818
4;4;4;4;3;NA;3;3;4;3;3;4;4;4;4;4;4;4;4;4;1;3;3,625;3,8333333333
4;4;4;4;3;NA;4;4;4;4;4;4;4;4;4;2;4;3;2;4;3;6;3,875;3,5833333333
4;4;3;4;1;1;4;3;4;4;NA;NA;3;1;3;4;3;3;3;2;3;5;2,7777777778;3,1
3;3;4;3;1;NA;NA;NA;3;3;NA;NA;2;NA;NA;NA;NA;3;3;2;2;4;2,5;3
3;3;3;3;2;1;2;NA;3;2;2;2;2;2;3;3;3;3;3;2;2;4;2,375;2,5833333333
4;4;4;4;1;1;1;1;3;2;1;NA;3;2;2;2;1;1;1;2;3;5;2,2222222222;2
4;4;4;4;4;4;4;4;4;4;3;3;4;3;4;4;4;4;4;4;3;5;3,8888888889;3,75
4;4;4;4;2;4;3;2;3;4;4;3;3;NA;3;4;4;NA;4;2;2;4;3,25;3,6
4;3;4;4;4;NA;3;3;4;3;3;3;3;4;4;3;3;3;3;4;1;2;3,625;3,3333333333
4;4;4;4;4;NA;3;3;3;3;4;4;4;4;4;4;4;4;4;4;1;2;3,75;3,8333333333
3;4;4;4;3;NA;2;2;3;3;2;3;3;NA;NA;4;4;3;4;2;1;2;3;3,3
3;3;3;3;3;3;1;2;3;2;3;2;2;2;2;2;2;2;3;2;2;3;2,4444444444;2,3333333333
4;4;4;4;4;4;4;4;4;4;4;NA;4;NA;4;4;4;4;4;4;1;3;4;4
4;4;4;4;2;4;4;4;1;4;4;1;4;3;4;4;4;4;4;4;3;5;3,6666666667;3,4166666667
4;4;2;4;4;4;4;4;3;1;NA;NA;3;3;3;NA;1;1;1;2;1;4;3,7777777778;2
3;3;3;3;3;3;2;2;3;3;2;3;3;2;3;3;3;3;3;2;3;5;2,6666666667;2,8333333333
4;4;4;4;4;4;3;4;4;4;4;4;3;3;4;3;4;3;3;4;1;4;3,7777777778;3,5833333333
3;3;3;3;2;3;3;3;3;3;4;4;4;3;4;3;4;4;4;4;2;4;3;3,5833333333
2;2;2;4;2;4;2;2;1;1;2;2;2;2;2;2;3;2;2;2;3;5;2,4444444444;1,9166666667
3;3;3;3;3;3;3;3;3;2;3;3;3;2;3;3;3;3;3;2;3;5;2,8888888889;2,8333333333
4;4;4;4;3;3;3;2;1;4;4;2;3;2;2;2;2;3;3;2;1;5;3;2,6666666667
4;3;2;4;2;3;3;NA;4;3;3;NA;1;NA;NA;NA;3;3;3;2;2;4;3,1666666667;2,75
3;NA;4;4;4;3;4;3;4;3;4;3;3;3;2;2;3;3;3;2;1;3;3,25;3,0833333333
4;4;4;4;4;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;3;5;3,8888888889;4
4;4;4;4;4;4;4;4;4;4;4;4;3;4;4;3;4;3;4;4;4;5;4;3,75
3;3;4;3;3;NA;1;NA;4;NA;NA;NA;NA;NA;3;NA;NA;NA;NA;NA;1;3;2,6666666667;3,6666666667
3;4;4;4;3;4;4;4;3;3;NA;3;3;3;4;3;NA;NA;NA;4;3;5;3,6666666667;3,25
4;4;4;4;3;4;4;3;4;3;3;4;3;4;NA;NA;4;3;3;4;3;5;3,75;3,5
4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;1;4;4;4
4;4;4;4;4;4;NA;NA;NA;4;NA;NA;4;4;4;4;4;4;4;4;3;5;4;4
4;4;4;4;4;4;3;3;4;4;3;3;4;3;NA;NA;4;NA;4;4;1;4;3,625;3,6666666667
4;4;4;4;4;4;4;4;3;4;4;4;4;4;4;4;4;4;4;4;2;5;4;3,9166666667
2;3;3;3;2;3;3;2;3;2;4;3;3;3;3;3;2;2;3;2;3;5;2,6666666667;2,8333333333
3;3;3;3;2;NA;2;NA;3;2;3;3;2;NA;3;3;2;3;3;2;1;3;2,6666666667;2,7272727273
4;NA;4;4;4;4;4;4;2;4;4;NA;4;4;4;4;2;2;4;4;3;5;4;3,4545454545
3;3;4;4;3;4;1;1;4;4;4;3;3;2;3;3;3;4;4;2;2;5;2,6666666667;3,4166666667
3;4;4;3;3;3;2;2;4;3;3;4;3;3;3;3;3;3;3;2;1;4;2,8888888889;3,25
4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;3;4;4;4;4;2;4;3,8888888889;3,8333333333
3;4;4;4;4;2;3;3;4;3;3;4;3;2;3;1;1;1;1;2;2;4;3,1111111111;2,5
4;4;4;4;4;4;4;4;4;4;NA;4;4;4;4;3;4;4;4;4;4;5;4;3,9090909091
4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;1;3;4;4
4;4;4;4;3;NA;3;3;4;3;3;NA;2;NA;4;3;3;2;NA;2;2;4;3,5714285714;3,1111111111
4;4;4;4;4;4;3;4;3;4;NA;4;4;4;4;2;4;4;4;4;3;5;3,8888888889;3,7272727273
2;3;3;2;2;NA;1;2;2;3;4;NA;2;NA;4;3;3;2;3;2;1;5;2,2857142857;2,9
3;4;3;3;3;4;NA;NA;3;3;4;4;3;NA;4;2;3;4;NA;2;3;5;3,5;3,3
3;3;2;3;1;3;1;1;4;4;2;1;1;1;2;1;2;3;3;2;2;5;2;2,1666666667
4;3;3;4;2;4;1;1;4;2;1;1;1;2;3;1;3;3;4;2;1;4;2,6666666667;2,3333333333
4;4;3;4;4;NA;3;3;3;4;4;3;3;NA;NA;4;4;3;4;4;1;4;3,6666666667;3,5
3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;3;5;3;3
4;4;NA;4;4;NA;2;NA;3;4;4;NA;3;NA;NA;3;3;NA;3;4;1;2;3,6;3,2857142857
3;3;3;3;3;3;3;3;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;1;2;3;3
3;4;3;3;2;3;2;2;3;3;3;NA;2;2;3;3;3;3;3;2;4;6;2,6666666667;2,8181818182
3;3;2;3;3;3;2;2;3;3;2;2;2;2;3;3;3;3;3;2;2;3;2,6666666667;2,5833333333
4;4;4;4;4;4;4;4;4;4;3;4;NA;4;4;4;4;4;4;4;1;2;4;3,9090909091
3;3;2;4;1;3;3;2;3;3;4;2;2;2;3;2;2;2;3;2;2;5;2,6666666667;2,5
4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;5;4;4
3;2;2;2;1;NA;3;2;3;3;4;1;1;2;3;3;1;1;1;2;1;4;2,25;2,0833333333
3;3;4;3;3;4;3;3;3;3;NA;NA;NA;NA;NA;NA;2;NA;NA;4;4;5;3,1428571429;3
4;3;3;3;3;2;3;3;3;3;4;3;3;NA;3;3;3;3;3;2;3;5;3;3,0909090909
3;4;3;3;2;3;2;NA;3;4;4;4;3;NA;4;NA;2;2;2;2;4;5;3;3,1
4;4;4;4;3;4;3;3;4;4;4;4;3;3;4;3;2;3;3;4;2;3;3,5555555556;3,4166666667
3;3;3;3;2;4;2;3;3;3;3;2;2;2;2;2;3;2;3;4;3;5;2,6666666667;2,5
3;4;3;3;3;3;NA;3;4;3;3;2;3;3;3;2;3;3;3;2;3;5;3,125;2,9166666667
4;3;3;4;3;4;4;3;4;4;4;4;2;2;4;4;4;4;4;4;3;5;3,4444444444;3,5833333333
3;4;NA;4;3;NA;2;2;2;NA;NA;NA;NA;NA;NA;NA;3;3;NA;2;1;3;3;2,6666666667
3;3;3;3;2;3;2;NA;3;NA;4;NA;3;NA;3;NA;2;2;3;2;3;5;2,7142857143;2,875
1;3;NA;3;1;4;2;2;3;2;2;2;2;2;3;2;2;2;2;2;4;5;2,3333333333;2,1818181818
4;4;4;4;3;4;3;3;3;4;4;3;3;NA;3;4;3;3;4;2;2;5;3,5;3,4545454545
4;4;3;4;3;4;2;2;3;3;NA;NA;2;3;4;3;3;3;4;4;2;5;3,3333333333;3,1
3;3;3;4;4;3;2;3;4;4;4;NA;2;NA;3;2;2;2;4;2;4;6;3,125;3
4;4;2;4;4;4;3;3;4;3;3;4;3;3;3;3;3;3;3;2;2;5;3,5555555556;3,0833333333
3;3;3;3;3;3;3;3;3;3;3;3;2;3;3;2;2;3;3;2;1;4;3;2,75
4;4;4;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;1;5;3,8888888889;4
4;4;4;4;4;NA;2;NA;4;4;4;4;2;2;4;4;NA;4;4;4;3;5;3,4285714286;3,6363636364
2;2;3;2;2;2;1;2;2;3;2;2;3;2;NA;NA;2;3;3;2;2;5;1,875;2,5
4;4;4;4;3;3;3;3;3;4;4;3;3;3;3;3;3;3;3;2;4;6;3,3333333333;3,25
3;3;4;3;3;3;3;2;4;4;4;4;2;2;3;3;2;2;3;2;4;6;2,7777777778;3,0833333333
3;3;3;3;2;2;2;2;3;2;3;3;2;2;3;2;2;2;2;2;4;6;2,4444444444;2,4166666667
3;3;3;3;2;2;2;2;3;3;3;3;2;2;2;2;2;2;2;2;1;3;2,3333333333;2,4166666667
3;3;3;3;3;3;3;3;4;4;4;4;2;3;3;3;3;3;3;2;2;5;3;3,25
4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;1;4;4;4
4;4;4;3;3;4;3;3;4;4;4;4;4;4;4;4;4;4;4;4;2;5;3,5555555556;4
4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;2;3;4;4
3;3;3;3;3;1;2;1;3;2;1;1;2;2;3;2;3;3;3;2;4;5;2,3333333333;2,3333333333
3;3;4;3;2;4;2;2;4;4;3;4;4;NA;4;2;4;2;3;4;2;5;2,875;3,4545454545
3;3;3;3;3;3;2;2;3;NA;3;NA;3;2;3;NA;3;3;3;2;1;4;2,6666666667;2,8888888889
4;4;3;4;4;4;3;4;3;3;3;3;4;3;4;4;3;4;4;2;1;4;3,7777777778;3,4166666667
3;4;4;3;3;3;3;3;3;2;4;3;1;NA;4;3;3;3;3;2;NA;4;3,25;3
1;1;1;1;1;1;1;1;3;3;3;3;2;1;NA;3;1;2;4;2;3;5;1;2,3636363636
3;4;3;3;2;2;2;NA;4;1;3;3;3;2;4;3;2;3;4;2;3;5;2,75;2,9166666667
4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;4;3;5;4;3,9166666667
1;3;2;3;2;NA;2;1;2;4;2;3;3;1;3;2;3;4;3;2;1;5;2;2,6666666667
4;4;4;4;4;3;4;4;4;4;4;4;4;3;4;3;4;4;4;4;3;5;3,7777777778;3,8333333333
2;4;4;4;3;NA;1;3;3;3;4;4;3;3;2;3;3;4;4;2;1;3;2,75;3,3333333333
2;3;NA;3;2;2;2;1;3;3;4;4;2;1;NA;NA;3;2;4;2;1;3;2;2,8888888889
4;4;1;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;5;4;3,75
4;4;4;4;4;4;4;4;4;4;4;4;3;4;4;4;3;3;3;4;2;3;4;3,6666666667
4;4;4;4;3;4;NA;2;3;3;4;4;4;4;4;4;4;4;4;4;4;5;3,625;3,8333333333
3;3;4;4;4;4;4;4;4;4;3;4;3;3;4;4;4;4;4;4;2;5;3,6666666667;3,75
4;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4;4;4;4;4;4;5;4;3,9166666667
4;4;4;4;3;4;3;3;4;3;2;2;4;3;4;4;4;4;4;2;4;5;3,5555555556;3,5
3;4;4;4;3;3;3;4;4;3;2;3;4;3;4;4;4;4;4;4;1;3;3,4444444444;3,5833333333
4;4;4;3;3;3;2;2;3;4;3;3;3;3;3;3;3;3;3;2;4;5;3;3,1666666667
4;4;4;4;4;4;2;2;3;3;3;3;4;3;3;3;3;3;3;2;2;3;3,3333333333;3,1666666667
4;4;4;4;4;4;4;4;4;4;NA;NA;4;4;4;4;4;4;4;4;2;5;4;4
4;4;4;4;4;4;4;4;4;4;NA;NA;4;4;4;4;4;4;4;4;1;3;4;4
3;3;3;3;3;3;2;2;2;3;NA;NA;4;NA;NA;NA;2;3;3;2;2;5;2,7142857143;2,8571428571
3;4;3;3;3;4;2;2;4;2;3;3;4;3;3;3;3;4;4;4;3;5;3;3,25
